TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2043903	AT2G43790	AT2G43790.1	protein_coding	Encodes a MAP kinase induced by pathogens, ethylene biosynthesis, oxidative stress and osmotic stress.Also involved in ovule development. Homozygous mutants in a MPK3 heterozygous background are female sterile due to defects in integument development.MPK6 appears to be associated with the microsomal compartment and may be involved in mediating secretory processes. The mRNA is cell-to-cell mobile.	ATMAPK6; ATMPK6; MAP KINASE 6; MAPK6; MPK6	 nucleus, cultured plant cell, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, MAP kinase activity, camalexin biosynthetic process, carpel, cauline leaf, cell cortex, cell division, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, induced systemic resistance, jasmonic acid mediated signaling pathway, inflorescence development, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, leaf senescence, mature plant embryo stage, nucleus, ovule primordium, petal, petal differentiation and expansion stage, petiole, phosphatase binding, phosphorylation, phragmoplast, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plant ovule development, plant sperm cell, plant-type hypersensitive response, plasma membrane, pollen, pollen development, pollen tube cell, pollen tube guidance, preprophase band, priming of cellular response to stress, protein binding, protein kinase activity, protein phosphorylation, regulation of gene expression, regulation of stomatal complex development, regulation of stomatal complex patterning, response to L-glutamate, response to UV-B, response to abscisic acid, response to cold, response to ethylene, response to freezing, response to fungus, response to hydrogen peroxide, response to osmotic stress, response to oxidative stress, response to reactive oxygen species, response to salt stress, root, root development, rosette leaf, seed, sepal, shoot apex, shoot system, signal transduction, stamen, trans-Golgi network, vascular leaf, vascular leaf senescent stage	true
Gene:2093590	AT3G17420	AT3G17420.1	protein_coding	serine/threonine protein kinase-like protein	GLYOXYSOMAL PROTEIN KINASE 1; GPK1	 plasma membrane, plasmodesma, protein phosphorylation, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, protein phosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:2078215	AT3G46370	AT3G46370.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 ATP binding, guard cell, integral component of membrane, kinase activity, phosphorylation, protein kinase activity, protein phosphorylation	false
Gene:2121660	AT4G23250	AT4G23250.1	protein_coding	cysteine-rich receptor-like protein kinase 17;(source:Araport11)	CRK17; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 17; DUF26-21; EMB1290; EMBRYO DEFECTIVE 1290; RECEPTOR-LIKE KINASE THALIANACOL-0GENOMICLIBRARY(CLONTECH).THEPOSITIVEPHAGECLONES C-X8-C-X2-C CLASS 1; RKC1	 extracellular region, plasma membrane, cytosol, embryo development ending in seed dormancy, extracellular region, guard cell, kinase activity, plasma membrane, protein autophosphorylation, protein kinase activity, rosette leaf	true
Gene:2097532	AT3G59740	AT3G59740.1	protein_coding	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)	L-TYPE LECTIN RECEPTOR KINASE V.7; LECRK-V.7	 ATP binding, carbohydrate binding, defense response, defense response to bacterium, defense response to oomycetes, integral component of membrane, kinase activity, plasma membrane, protein phosphorylation, transmembrane receptor protein serine/threonine kinase activity	false
Gene:2101678	AT3G50630	AT3G50630.1	protein_coding	Kip-related protein (KRP) gene, encodes CDK (cyclin-dependent kinase) inhibitor (CKI), negative regulator of cell division. A member of seven KRP genes found in Arabidopsis thaliana. Differential expression patterns for distinct KRPs were revealed by in situ hybridization.  Gene was isolated from a yeast two hybrid screen as an interacting protein of CDC2A. Recombinant protein has a strong kinase inhibitor activity in vitro. Transcript is expressed in all tissues examined but is differentially distributed from ICK1. Controls the onset of the endoreduplication cycle through inhibition of CDKA;1. The KRP2 protein abundance is regulated by proteolysis through CDKB1;1 phosphorylation.	ICK2; KIP-RELATED PROTEIN 2; KRP2	 nucleus, DNA endoreduplication, LP.04 four leaves visible stage, LP.10 ten leaves visible stage, carpel, cauline leaf, cell cycle arrest, collective leaf structure, cyclin-dependent protein serine/threonine kinase inhibitor activity, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase inhibitor activity, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of cyclin-dependent protein serine/threonine kinase activity, nucleoplasm, nucleus, petal, petal differentiation and expansion stage, petiole, pith, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, root, seed, sepal, shoot apex, shoot system, spongy mesophyll cell, stamen, vascular leaf, vascular leaf primordium, vascular leaf senescent stage	true
Gene:2114622	AT3G49590	AT3G49590.1	protein_coding	Autophagy-related protein 13;(source:Araport11)	ATG13; AUTOPHAGY-RELATED 13	 nucleus, cultured plant cell, Atg1/ULK1 kinase complex, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, activation of protein kinase activity, autophagosome, autophagosome assembly, autophagy, autophagy of mitochondrion, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasmic vesicle, cytosol, extrinsic component of membrane, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, macroautophagy, mature plant embryo stage, mitophagy, nucleus, petal, petal differentiation and expansion stage, petiole, phagophore assembly site, piecemeal microautophagy of the nucleus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, protein kinase binding, protein kinase regulator activity, protein localization to phagophore assembly site, protein transport, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2162847	AT5G35960	AT5G35960.1	protein_coding	Protein kinase family protein;(source:Araport11)		 extracellular region, ATP binding, chloroplast, extracellular region, flower, hypocotyl, inflorescence meristem, petal differentiation and expansion stage, phosphorylation, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, root, transmembrane receptor protein serine/threonine kinase activity	false
Gene:2133558	AT4G08500	AT4G08500.1	protein_coding	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.	ARAKIN; ATMEKK1; MAPK/ERK KINASE KINASE 1; MAPKKK8; MEKK1	 nucleus, cultured plant cell, ATP binding, DNA binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase kinase kinase activity, MAPK cascade, activation of protein kinase activity, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, endosome, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response, kinase binding, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein autophosphorylation, protein binding, protein serine/threonine kinase activity, response to L-glutamate, response to cadmium ion, response to cold, response to osmotic stress, response to salt stress, response to wounding, root, root meristem growth, root system development, seed, sepal, shoot apex, shoot system, signal transduction by protein phosphorylation, stamen, stress-activated protein kinase signaling cascade, vascular leaf, vascular leaf senescent stage	true
Gene:6532545544	AT5G10440	AT5G10440.2	protein_coding	Encodes a cyclin involved in cell proliferation during stomatal cell lineage development.		 nucleus, cell division, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, guard cell, mitotic cell cycle phase transition, nucleus, protein binding, protein kinase activity, protein kinase binding, regulation of cyclin-dependent protein serine/threonine kinase activity, stomatal lineage progression	true
Gene:6532554413	AT5G15730	AT5G15730.3	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, epidermis, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, protein phosphorylation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:2020662	AT1G70210	AT1G70210.1	protein_coding	Encodes a D-type cyclin that physically interacts with CDC2A.  Its expression is upregulated early during germination.	ATCYCD1;1; CYCD1;1; CYCLIN D1;1	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell division, collective leaf structure, cotyledon, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitotic cell cycle phase transition, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein binding, protein kinase activity, protein kinase binding, regulation of cyclin-dependent protein serine/threonine kinase activity, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2045318	AT2G23030	AT2G23030.1	protein_coding	encodes a member of SNF1-related protein kinases (SnRK2)	SNF1-RELATED PROTEIN KINASE 2.9; SNRK2-9; SNRK2.9; SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-9	 cytosol, nucleus, ATP binding, NOT cytosol, cytoplasm, hypocotyl, intracellular signal transduction, nucleus, protein phosphorylation, protein serine/threonine kinase activity, response to osmotic stress, root, rosette leaf, vacuole	true
Gene:2077897	AT3G08680	AT3G08680.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 extracellular region, plasma membrane, plasmodesma, protein phosphorylation, cultured plant cell, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plant-type cell wall, plasma membrane, plasmodesma, pollen, pollen tube cell, protein binding, protein kinase activity, protein phosphorylation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2079141	AT3G47570	AT3G47570.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, flower, guard cell, hypocotyl, integral component of membrane, kinase activity, leaf apex, leaf lamina base, petal differentiation and expansion stage, petiole, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, root, shoot apex, shoot system, vascular leaf, vascular leaf senescent stage	true
Gene:2087594	AT3G20190	AT3G20190.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)	POLLEN RECEPTOR LIKE KINASE 4; PRK4	 cultured plant cell, ATP binding, L mature pollen stage, M germinated pollen stage, carpel, collective leaf structure, cultured plant cell, flower, flowering stage, integral component of membrane, kinase activity, mitochondrion, petal, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, pollen, pollen tube cell, protein binding, protein kinase activity, protein phosphorylation, regulation of pollen tube growth, sepal, stamen	true
Gene:2128262	AT4G11330	AT4G11330.1	protein_coding	MAP kinase	ATMPK5; MAP KINASE 5; MPK5	 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase activity, MAPK cascade, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular signal transduction, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, regulation of gene expression, root, seed, sepal, shoot apex, shoot system, signal transduction, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2174303	AT5G59680	AT5G59680.1	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 ATP binding, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, guard cell, integral component of membrane, kinase activity, leaf apex, phosphorylation, plasma membrane, protein binding, protein phosphorylation, protein serine/threonine kinase activity, root, vascular leaf, vascular leaf senescent stage	false
Gene:2205259	AT1G56120	AT1G56120.1	protein_coding	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)		 plasma membrane, guard cell, kinase activity, phosphorylation, plasma membrane, protein autophosphorylation, protein serine/threonine kinase activity	false
Gene:3434911	AT1G48630	AT1G48630.1	protein_coding	Encodes a protein with similarity to mammalian RACKs. RACKs function to shuttle activated protein kinase C to different subcellular sites and may also function as a scaffold through physical interactions with other proteins. RACK1B has no phenotype on its own and probably acts redundantly with RACK1A and RACK1C.	RACK1B; RACK1B_AT; RECEPTOR FOR ACTIVATED C KINASE 1B	 cytosol, cytosolic ribosome, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, MAP-kinase scaffold activity, carpel, cauline leaf, cellular response to abscisic acid stimulus, collective leaf structure, cotyledon, cytosol, cytosolic ribosome, cytosolic small ribosomal subunit, enzyme binding, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, positive regulation of protein phosphorylation, positive regulation of signal transduction, protein kinase C binding, regulation of translation, rescue of stalled ribosome, ribosome binding, ribosome biogenesis, root, root development, rosette leaf, seed, seed germination, sepal, shoot apex, shoot system, shoot system development, signal transduction, stamen, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:3439089	AT4G23130	AT4G23130.1	protein_coding	Encodes a receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307)	CRK5; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 5; RECEPTOR-LIKE PROTEIN KINASE 6; RLK6	 plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, cauline leaf, chloroplast, collective leaf structure, cotyledon, defense response to bacterium, flowering stage, guard cell, integral component of membrane, kinase activity, leaf apex, leaf lamina base, petiole, plasma membrane, programmed cell death, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, response to salicylic acid, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:3440930	AT5G54380	AT5G54380.1	protein_coding	Encodes THESEUS1 (THE1), a receptor kinase regulated by Brassinosteroids and required for cell elongation during vegetative growth.	THE1; THESEUS1	 extracellular region, plasma membrane, plasmodesma, protein phosphorylation, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, brassinosteroid mediated signaling pathway, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, defense response to fungus, incompatible interaction, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, post-embryonic development, primary root elongation zone, protein autophosphorylation, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, regulation of unidimensional cell growth, response to brassinosteroid, root, root vascular system, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, unidimensional cell growth, vascular leaf, vascular leaf senescent stage	false
Gene:504953207	AT4G04695	AT4G04695.1	protein_coding	member of Calcium Dependent Protein Kinase. Involved in response to salicylic acid.	CALCIUM-DEPENDENT PROTEIN KINASE 31; CPK31	 plasma membrane, ATP binding, abscisic acid-activated signaling pathway, calcium ion binding, calcium-dependent protein serine/threonine kinase activity, calmodulin binding, calmodulin-dependent protein kinase activity, cytoplasm, guard cell, intracellular signal transduction, membrane, nucleus, peptidyl-serine phosphorylation, plasma membrane, protein autophosphorylation, response to salicylic acid	false
Gene:1005713797	AT5G60300	AT5G60300.2	protein_coding	Encodes a legume-type lectin receptor kinase that is structurally distinct from the mammalian extracellular ATP receptors and acts as an extracellular ATP receptor in Arabidopsis. Extracellular ATP acts as a damage-associated molecular pattern in plants, and its signaling through P2K1 is important for mounting an effective defense response against various pathogenic microorganisms. It also plays a role in cell wall-plasma membrane adhesion.	DOES NOT RESPOND TO NUCLEOTIDES 1; DORN1; L-TYPE LECTIN RECEPTOR KINASE I.9; LECRK-I.9; P2K1	 chloroplast, plasma membrane, ATP binding, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carbohydrate binding, cauline leaf, cellular response to ATP, chloroplast, collective leaf structure, cotyledon, defense response, defense response to bacterium, defense response to oomycetes, extracellular ATP signaling, flower, flowering stage, focal adhesion assembly, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, regulation of jasmonic acid mediated signaling pathway, response to wounding, root, seed, sepal, shoot apex, shoot system, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:1006228615	AT3G14350	AT3G14350.3	protein_coding	STRUBBELIG-receptor family 7;(source:Araport11)	SRF7; STRUBBELIG-RECEPTOR FAMILY 7	 plasma membrane, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, protein kinase activity, protein phosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	false
Gene:6530296371	AT1G51890	AT1G51890.2	protein_coding	Leucine-rich repeat protein kinase family protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, cauline leaf, collective leaf structure, cotyledon, defense response to bacterium, flowering stage, guard cell, hypocotyl, integral component of membrane, kinase activity, nucleus, petal differentiation and expansion stage, plasma membrane, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, sepal, stamen, vascular leaf, vascular leaf senescent stage	false
